id,flavor_text,flavor_text_jp
220,"Powers up “not very effective” moves.","こうかいまひとつ のとき わざを つよめる。"
221,"Powers up “not very effective"" moves.","こうかいまひとつ のとき わざを つよめる。"
222,"Reduces damage from supereffective attacks.","こうかばつぐん のとき いりょくを よわめる"
223,"Temporarily halves Attack and Speed.","こうげきと すばやさが しばらく はんぶんになる。"
224,"Enables moves to hit Ghost-type foes.","ゴーストタイプに わざが あたるようになる。"
225,"Enables moves to hit Ghost-type Pokémon.","ゴーストタイプに わざが あたるようになる。"
226,"The Pokémon draws in all Water-type moves.","みずタイプの わざを すべて うける。"
227,"Draws in all Water-type moves to up Sp. Attack.","みずタイプの わざを すべて うける。"
228,"The Pokémon regains HP in a hailstorm.","てんきが あられのとき HPを かいふくする。"
229,"The Pokémon gradually regains HP in a hailstorm.","てんきが あられのとき HPを かいふくする。"
230,"Reduces damage from supereffective attacks","こうかばつぐん のとき いりょくを よわめる"
231,"Reduces damage from supereffective attacks.","こうかばつぐん のとき いりょくを よわめる"
232,"The Pokémon summons a hailstorm in battle.","せんとうに でると  あられを ふらす。"
233,"The Pokémon may gather Honey from somewhere.","あまいミツを あつめて くることが ある。"
234,"The Pokémon can check the foe's held item.","あいての もちものを しることが できる。"
235,"The Pokémon can check a foe's held item.","あいての もちものを しることが できる。"
236,"Powers up moves that have recoil damage.","はんどうで ダメージを うけるわざが つよくなる。"
237,"Changes type to match the held Plate.","もっている プレートで タイプが かわる。"
238,"Powers up party Pokémon when it is sunny.","はれのとき じぶんと みかたが つよくなる。"
239,"Reduces a sleeping foe's HP.","ねむっている あいての HPを へらす。"
240,"Steals an item when hit by another Pokémon.","さわられた　あいてから　どうぐを　ぬすむ。"
241,"Removes added effects to increase move damage.","ちからが　つよくなるが　つかこうかが　なくなる。"
242,"Makes stat changes have an opposite effect.","のうりょくの　へんかが　ぎゃくてんする。"
243,"Makes the foe nervous and unable to eat Berries.","あいてを　きんちょうさせ　みのみを　たべさせない。"
244,"When its stats are lowered its Attack increases.","のうりょくが　さがると　攻撃があがる。"
245,"Lowers stats when HP becomes half or less.","HPが　はんぶんになると　のうりょくが　さがる。"
246,"May disable a move used on the Pokémon.","こうげきされると　たまに　かなしばりにする。"
247,"May heal an ally's status conditions.","みかたの　じょうたいいじょうを　たまに　なおす。"
248,"Reduces damage done to allies.","みかたの　ダメージを　へらすことが　できる。"
249,"Physical attacks lower Defense and raise Speed.","ぶつりわざで　ぼうぎょがさがり　すばやさが　あがる。"
250,"Doubles the Pokémon's weight.","じぶんの　おもさが　２ばいに　なる。"
251,"Halves the Pokémon's weight.","じぶんの　おもさが　はんぶんに　なる。"
252,"Reduces damage when HP is full.","HPが　まんタンの　ときに　ダメージが　すくなくなる。"
253,"Powers up physical attacks when poisoned.","どくのとき、　ぶつりの　いりょくが　あがる。"
254,"Powers up special attacks when burned.","やけどのとき　とくしゅの　いりょくが　あがる。"
255,"May create another Berry after one is used.","つかった　きのみを　なんかいも　つくりだす。"
256,"Anticipates an ally's attack and dodges it.","みかたの　こうげきを　よみとって　うけない。"
257,"Raises one stat and lowers another.","のうりょくが　あがったり　さがったり　する。"
258,"Protects the Pokémon from damage from weather.","てんきの　えいきょうで　ダメージを　うけない。"
259,"May poison targets when a Pokémon makes contact.","さわるだけで　あいてを　どくにすることが　ある。"
260,"Restores a little HP when withdrawn from battle.","ひっこめると　HPが　すこし　かいふくする。"
261,"Protects the Pokémon from Defense-lowering attacks.","ぼうぎょを　さげる　こうげきを　うけない。"
262,"Boosts the Pokémon's Speed in a sandstorm.","すなあらしで　すばやさが　あがる。"
263,"Makes status-changing moves more likely to miss.","へんかわざを　うけにくい　からだに　なっている。"
264,"Boosts move power when the Pokémon moves last.","いちばんさいごに　わざを　だすと　つよくなる。"
265,"Comes out disguised as the Pokémon in back.","うしろの　ポケモンに　なりきって　でてくる。"
266,"It transforms itself into the Pokémon it is facing.","めのまえの　ポケモンに　へんしんして　しまう。"
267,"Passes through the foe's barrier and strikes.","あいての　かべを　すりぬけて　こうげき。"
268,"Contact with this Pokémon spreads this Ability.","あいてに　さわられる　あいてを　ミイラに　する。"
269,"Boosts Attack after knocking out any Pokémon.","あいてを　たおすと　こうげきが　あがる。"
270,"Raises Attack when hit by a Dark-type move.","あくを　うけると　こうげきが　あがる。"
271,"Some move types scare it and boost its Speed.","びびって　すばやさが　あがる　タイプが　ある。"
272,"Reflects status-changing moves.","へんかわざを　かえすことが　できる。"
273,"Boosts Attack when hit by a Grass-type move.","くさの　わざを　うけると　こうげきが　あがる。"
274,"Gives priority to a status move.","へんかわざを　せんせいで　だすことが　できる。"
275,"Boosts certain moves' power in a sandstorm.","すなあらしで　いりょくが　あがる　わざが　ある。"
276,"Inflicts damage to the Pokémon on contact.","ふれた　あいてを　キズつける。"
277,"Changes the Pokémon's shape when HP is halved.","ピンチに　なると　すがたが　へんかする。"
278,"Boosts the accuracy of its allies and itself.","じぶんや　みかたの　めいちゅうが　あがる。"
279,"Moves can be used regardless of Abilities.","とくせいに　かんけいなく　あいてに　わざを　だせる。"
280,"Moves can be used regardless of Abilities.","とくせいに　かんけいなく　あいてに　わざを　だせる。"
