move_id,generation_id,flavor_text,flavor_text_jp
14,5,"A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.","たたかいの おどりを はげしく おどって きあいを たかめ じぶんの こうげきを グーンと あげる。"
15,2,"Cuts using claws, scythes, etc.",""
15,3,"Cuts the foe with sharp scythes, claws, etc.",""
15,4,"The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.","カマや ツメなどで あいてを きりつけて こうげきする。ほそい きや くさを きることも できる。"
15,5,"The target is cut with a scythe or a claw. It can also be used to cut down thin trees.","カマや ツメなどで あいてを きりつけて こうげきする。ほそい きや くさを きることも できる。"
16,2,"Whips up a strong gust of wind.",""
16,3,"Strikes the foe with a gust of wind whipped up by wings.",""
16,4,"A gust of wind is whipped up by wings and launched at the foe to inflict damage.","つばさで おこした はげしい かぜを あいてに ぶつけて こうげきする。"
16,5,"A gust of wind is whipped up by wings and launched at the target to inflict damage.","つばさで おこした はげしい かぜを あいてに ぶつけて こうげきする。"
17,2,"Strikes the target with wings.",""
17,3,"Strikes the foe with wings spread wide.",""
17,4,"The foe is struck with large, imposing wings spread wide to inflict damage.","おおきく ひろげた りっぱな つばさを あいてに ぶつけて こうげきする。"
17,5,"The target is struck with large, imposing wings spread wide to inflict damage.","おおきく ひろげた りっぱな つばさを あいてに ぶつけて こうげきする。"
18,2,"Blows away the foe & ends battle.",""
18,3,"Blows away the foe with wind and ends the battle.",""
18,4,"The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.","あいてを ふきとばし ひかえの ポケモンを むりやり ひきだす。やせいの ばあいは せんとうが おわる。"
18,5,"The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends.","あいてを ふきとばし ひかえの ポケモンを むりやり ひきだす。やせいの ばあいは せんとうが おわる。"
19,2,"1st turn: Fly 2nd turn: Attack",""
19,3,"Flies up on the first turn, then strikes the next turn.",""
19,4,"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town.","1ターンめで そらに とんで 2ターンめに こうげきする。しっている まちに とぶことも できる。"
19,5,"The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town.","1ターンめで そらに とんで 2ターンめに こうげきする。しっている まちに とぶことも できる。"
20,2,"Binds the target for 2-5 turns.",""
20,3,"Binds and squeezes the foe for 2 to 5 turns.",""
20,4,"A long body or tentacles are used to bind and squeeze the foe for two to five turns.","ながい からだや つるなどを つかって 2-5ターンの あいだ あいてを しめつけて こうげきする。"
20,5,"Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.","ながい からだや つるなどを つかって 2-5ターンの あいだ あいてを しめつけて こうげきする。"
21,2,"Slams the foe with a tail, vine, etc.",""
21,3,"Slams the foe with a long tail, vine, etc.",""
21,4,"The foe is slammed with a long tail, vines, etc., to inflict damage.","ながい しっぽや つるなどを つかって あいてを たたきつけて こうげきする。"
21,5,"The target is slammed with a long tail, vines, etc., to inflict damage.","ながい しっぽや つるなどを つかって あいてを たたきつけて こうげきする。"
22,2,"Whips the foe with slender vines.",""
22,3,"Strikes the foe with slender, whiplike vines.",""
22,4,"The foe is struck with slender, whiplike vines to inflict damage.","ムチの ように しなる ほそながい つるを あいてに たたきつけて こうげきする。"
22,5,"The target is struck with slender, whiplike vines to inflict damage.","ムチの ように しなる ほそながい つるを あいてに たたきつけて こうげきする。"
23,2,"An attack that may cause flinching.",""
23,3,"Stomps the enemy with a big foot. May cause flinching.",""
23,4,"The foe is stomped with a big foot. It may also make the target flinch.","おおきな あしで あいてを ふみつけて こうげきする。あいてを ひるませる ことが ある。"
23,5,"The target is stomped with a big foot. It may also make the target flinch.","おおきな あしで あいてを ふみつけて こうげきする。あいてを ひるませる ことが ある。"
24,2,"A double kicking attack.",""
24,3,"A double-kicking attack that strikes the foe twice.",""
24,4,"The foe is quickly kicked twice in succession using both feet.","2ほんの あしで あいてを けとばして こうげきする。2かい れんぞくで ダメージを あたえる。"
24,5,"The target is quickly kicked twice in succession using both feet.","2ほんの あしで あいてを けとばして こうげきする。2かい れんぞくで ダメージを あたえる。"
25,2,"A powerful kicking attack.",""
25,3,"An extremely powerful kick with intense force.",""
25,4,"The foe is attacked by a kick launched with muscle-packed power.","ものすごい ちからを こめた キックで あいてを けとばして こうげきする。"
25,5,"The target is attacked by a kick launched with muscle-packed power.","ものすごい ちからを こめた キックで あいてを けとばして こうげきする。"
26,2,"May miss, damaging the user.",""
26,3,"A strong jumping kick. May miss and hurt the kicker.",""
26,4,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.","たかい ジャンプからの キックで あいてを こうげきする。はずすと じぶんが ダメージを うける。"
26,5,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.","たかい ジャンプからの キックで あいてを こうげきする。はずすと じぶんが ダメージを うける。"
27,2,"A fast, spinning kick.",""
27,3,"A fast kick delivered from a rapid spin.",""
27,4,"The user lashes out with a quick, spinning kick. It may also make the target flinch.","からだを かいてんさせ キックを くりだして こうげきする。あいてを ひるませる ことが ある。"
27,5,"The user lashes out with a quick, spinning kick. It may also make the target flinch.","からだを かいてんさせ キックを くりだして こうげきする。あいてを ひるませる ことが ある。"
28,2,"Reduces accuracy by throwing sand.",""
28,3,"Reduces the foe’s accuracy by hurling sand in its face.",""
28,4,"Sand is hurled in the foe’s face, reducing its accuracy.","たいりょうの すなを かおに かけ めを くらまして あいての めいちゅうを さげる。"
28,5,"Sand is hurled in the target's face, reducing its accuracy.","たいりょうの すなを かおに かけ めを くらまして あいての めいちゅうを さげる。"
29,2,"An attack that may make foe flinch.",""
29,3,"A ramming attack that may cause flinching.",""
29,4,"The user attacks with its head. It may make the foe flinch. To find Pokémon, hit trees.","あたまを つきだし まっすぐ つっこんで こうげきする。あいてを ひるませる ことが ある。"
29,5,"The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch.","あたまを つきだし まっすぐ つっこんで こうげきする。あいてを ひるませる ことが ある。"
30,2,"An attack using a horn to jab.",""
30,3,"Jabs the foe with sharp horns.",""
30,4,"The foe is jabbed with a sharply pointed horn to inflict damage.","するどく とがった つのを つかって あいてを つついて こうげきする。"
30,5,"The target is jabbed with a sharply pointed horn to inflict damage.","するどく とがった つのを つかって あいてを つついて こうげきする。"
31,2,"Jabs the target 2-5 times.",""
31,3,"Jabs the foe 2 to 5 times with sharp horns, etc.",""
31,4,"The foe is jabbed repeatedly with a horn or beak two to five times in a row.","つのや くちばしで あいてを つついて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
31,5,"The target is jabbed repeatedly with a horn or beak two to five times in a row.","つのや くちばしで あいてを つついて こうげきする。2-5かい れんぞくで ダメージを あたえる。"
32,2,"A one-hit KO, drill attack.",""
32,3,"A one-hit KO attack that uses a horn like a drill.",""
32,4,"The foe is stabbed with a horn rotating like a drill. The foe instantly faints if it hits.","つのを かいてんさせて あいてに つきさして こうげきする。あたれば いちげきで あいては たおれる。"
32,5,"The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly.","つのを かいてんさせて あいてに つきさして こうげきする。あたれば いちげきで あいては たおれる。"
33,2,"A full-body charge attack.",""
33,3,"Charges the foe with a full- body tackle.",""
33,4,"A physical attack in which the user charges and slams into the foe with its whole body.","あいてに むかって からだ ぜんたいで つっこんで いって こうげきする。"
33,5,"A physical attack in which the user charges and slams into the target with its whole body.","あいてに むかって からだ ぜんたいで つっこんで いって こうげきする。"
34,2,"An attack that may cause paralysis.",""
34,3,"A full-body slam that may cause paralysis.",""
34,4,"The user drops onto the foe with its full body weight. It may leave the foe paralyzed.","からだ ぜんたいで あいてに のしかかって こうげきする。まひ じょうたいに することが ある。"
34,5,"The user drops onto the target with its full body weight. It may also leave the target with paralysis.","からだ ぜんたいで あいてに のしかかって こうげきする。まひ じょうたいに することが ある。"
35,2,"Squeezes the foe for 2-5 turns.",""
35,3,"Wraps and squeezes the foe 2 to 5 times with vines, etc.",""
35,4,"A long body or vines are used to wrap and squeeze the foe for two to five turns.","ながい からだや つるなどを つかって 2-5ターンの あいだ あいてに まきついて こうげきする。"
35,5,"A long body or vines are used to wrap and squeeze the target for four to five turns.","ながい からだや つるなどを つかって 2-5ターンの あいだ あいてに まきついて こうげきする。"
36,2,"A tackle that also hurts the user.",""
36,3,"A reckless charge attack that also hurts the user.",""
36,4,"A reckless, full-body charge attack for slamming into the foe. It also damages the user a little.","すごい いきおいで あいてに つっこんで こうげきする。じぶんも すこし ダメージを うける。"
36,5,"A reckless, full-body charge attack for slamming into the target. It also damages the user a little.","すごい いきおいで あいてに つっこんで こうげきする。じぶんも すこし ダメージを うける。"
37,2,"Works 2-3 turns and confuses user.",""
37,3,"A rampage of 2 to 3 turns that confuses the user.",""
37,4,"The user rampages and attacks for two to three turns. It then becomes confused, however.","2ー3ターンの あいだ あばれ まくって こうげきする。あばれた あとは こんらん してしまう。"
37,5,"The user rampages and attacks for two to three turns. It then becomes confused, however.","2ー3ターンの あいだ あばれ まくって こうげきする。あばれた あとは こんらん してしまう。"
38,2,"A tackle that also hurts the user.",""
38,3,"A life-risking tackle that also hurts the user.",""
38,4,"A reckless, life- risking tackle. It also damages the user by a fairly large amount, however.","いのちを かけて てきに つっこんで こうげきする。じぶんも すこし ダメージを うける。"
38,5,"A reckless, life-risking tackle. It also damages the user by a fairly large amount, however.","いのちを かけて てきに つっこんで こうげきする。じぶんも すこし ダメージを うける。"
39,2,"Lowers the foe's DEFENSE.",""
39,3,"Wags the tail to lower the foe’s DEFENSE.",""
39,4,"The user wags its tail cutely, making the foe less wary. The target’s Defense stat is lowered.","しっぽを さゆうに かわいく ふって ゆだんさせて てきの ぼうぎょを さげる。"
39,5,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.","しっぽを さゆうに かわいく ふって ゆだんさせて てきの ぼうぎょを さげる。"
40,2,"An attack that may poison the target.",""
40,3,"A toxic attack with barbs, etc., that may poison.",""
40,4,"The foe is stabbed with a poisonous barb of some sort. It may also poison the target.","どくの ある ハリを あいてに つきさして こうげきする。どく じょうたいに することが ある。"
40,5,"The user stabs the target with a poisonous stinger. This may also poison the target.","どくの ある ハリを あいてに つきさして こうげきする。どく じょうたいに することが ある。"
41,2,"Jabs the foe twice using stingers.",""
41,3,"Stingers on the forelegs jab the foe twice.",""
41,4,"The foe is stabbed twice by a pair of stingers. It may also poison the target.","りょうての ハリで 2かい れんぞくで こうげきする。どく じょうたいに することが ある。"
41,5,"The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.","りょうての ハリで 2かい れんぞくで こうげきする。どく じょうたいに することが ある。"
42,2,"Fires pins that strike 2-5 times.",""
42,3,"Sharp pins are fired to strike 2 to 5 times.",""
42,4,"Sharp pins are shot at the foe in rapid succession. They hit two to five times in a row.","するどい ハリを あいてに はっしゃして こうげきする。2-5かい れんぞくで ダメージを あたえる。"
42,5,"Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.","するどい ハリを あいてに はっしゃして こうげきする。2-5かい れんぞくで ダメージを あたえる。"
43,2,"Reduces the foe's DEFENSE.",""
43,3,"Frightens the foe with a leer to lower DEFENSE.",""
43,4,"The foe is given an intimidating leer with sharp eyes. The target’s Defense stat is reduced.","するどい めつきで じっと にらみつけ おびえさせて てきの ぼうぎょを さげる。"
43,5,"The opposing team gains an intimidating leer with sharp eyes. The opposing team's Defense stats are reduced.","するどい めつきで じっと にらみつけ おびえさせて てきの ぼうぎょを さげる。"
44,2,"An attack that may cause flinching.",""
44,3,"Bites with vicious fangs. May cause flinching.",""
44,4,"The foe is bitten with viciously sharp fangs. It may make the target flinch.","するどく とがった はで かみついて こうげきする。あいてを ひるませる ことが ある。"
44,5,"The target is bitten with viciously sharp fangs. It may make the target flinch.","するどく とがった はで かみついて こうげきする。あいてを ひるませる ことが ある。"
45,2,"Reduces the foe's ATTACK.",""
45,3,"Growls cutely to reduce the foe’s ATTACK.",""
45,4,"The user growls in an endearing way, making the foe less wary. The target’s Attack stat is lowered.","かわいい なきごえを きかせて きを ひき ゆだんさせて てきの こうげきを さげる。"
45,5,"The user growls in an endearing way, making the opposing team less wary. The foes' Attack stats are lowered.","かわいい なきごえを きかせて きを ひき ゆだんさせて てきの こうげきを さげる。"
46,2,"Scares wild foes to end battle.",""
46,3,"Makes the foe flee to end the battle.",""
46,4,"The foe is scared off, to be replaced by another Pokémon in its party. In the wild, the battle ends.","あいてを にげださせて ひかえの ポケモンを むりやり ひきだす。やせいの ばあいは せんとうが おわる。"
46,5,"The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends.","あいてを にげださせて ひかえの ポケモンを むりやり ひきだす。やせいの ばあいは せんとうが おわる。"
47,2,"May cause the foe to fall asleep.",""
47,3,"A soothing song lulls the foe into a deep slumber.",""
47,4,"A soothing lullaby is sung in a calming voice that puts the foe into a deep slumber.","こころの やすらぐ ここちよい きれいな うたごえを きかせて あいてを ねむりの じょうたいに する。"
47,5,"A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.","こころの やすらぐ ここちよい きれいな うたごえを きかせて あいてを ねむりの じょうたいに する。"
48,2,"Sound waves that cause confusion.",""
48,3,"Emits bizarre sound waves that may confuse the foe.",""
48,4,"The user generates odd sound waves from its body. It may confuse the target.","とくしゅな おんぱを からだから はっして あいてを こんらんの じょうたいに する。"
48,5,"The user generates odd sound waves from its body. It may confuse the target.","とくしゅな おんぱを からだから はっして あいてを こんらんの じょうたいに する。"
49,2,"Always inflicts 20HP damage.",""
49,3,"Launches shock waves that always inflict 20 HP damage.",""
49,4,"The foe is hit with a destructive shock wave that always inflicts 20 HP damage.","しょうげきはを あいてに ぶつけて こうげきする。20の きまった ダメージを あたえる。"
49,5,"The target is hit with a destructive shock wave that always inflicts 20 HP damage.","しょうげきはを あいてに ぶつけて こうげきする。20の きまった ダメージを あたえる。"
50,2,"Disables the foe's most recent move.",""
50,3,"Psychically disables one of the foe’s moves.",""
50,4,"For several turns, this move prevents the foe from using the move it last used.","うごきを ふうじて あいてが ちょくぜんに つかった わざを すうターンの あいだ つかえなく する。"
50,5,"For four turns, this move prevents the target from using the move it last used.","うごきを ふうじて あいてが ちょくぜんに つかった わざを すうターンの あいだ つかえなく する。"
51,2,"An attack that may lower DEFENSE.",""
51,3,"Sprays a hide-melting acid. May lower DEFENSE.",""
51,4,"The foe is attacked with a spray of harsh acid. It may also lower the target’s Sp. Def stat.","つよい さんを かけて ひふを とかして こうげきする。あいての ぼうぎょを さげることが ある。"
51,5,"The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets' Sp. Def stats.","つよい さんを かけて ひふを とかして こうげきする。あいての ぼうぎょを さげることが ある。"
52,2,"An attack that may inflict a burn.",""
52,3,"A weak fire attack that may inflict a burn.",""
52,4,"The foe is attacked with small flames. The target may also be left with a burn.","ちいさな ほのおを あいてに はっしゃして こうげきする。やけど じょうたいに することが ある。"
52,5,"The target is attacked with small flames. It may also leave the target with a burn.","ちいさな ほのおを あいてに はっしゃして こうげきする。やけど じょうたいに することが ある。"
53,2,"An attack that may inflict a burn.",""
53,3,"A powerful fire attack that may inflict a burn.",""
53,4,"The foe is scorched with an intense blast of fire. The target may also be left with a burn.","はげしい ほのおを あいてに はっしゃして こうげきする。やけど じょうたいに することが ある。"
53,5,"The target is scorched with an intense blast of fire. It may also leave the target with a burn.","はげしい ほのおを あいてに はっしゃして こうげきする。やけど じょうたいに することが ある。"
54,2,"Prevents stat reduction.",""
54,3,"Creates a mist that stops reduction of abilities.",""
54,4,"The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.","しろい きりで からだを おおって みかたの のうりょくを あいてに さげられない ように する。"
54,5,"The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.","しろい きりで からだを おおって みかたの のうりょくを あいてに さげられない ように する。"
55,2,"Squirts water to attack.",""
55,3,"Squirts water to attack the foe.",""
55,4,"The foe is blasted with a forceful shot of water.","たくさんの みずを くちから いきおいよく あいてに はっしゃして こうげきする。"
55,5,"The target is blasted with a forceful shot of water.","たくさんの みずを くちから いきおいよく あいてに はっしゃして こうげきする。"
56,2,"A powerful water- type attack.",""
56,3,"Blasts water at high power to strike the foe.",""
56,4,"The foe is blasted by a huge volume of water launched under great pressure.","たいりょうの みずを ものすごい いきおいで あいてに はっしゃして こうげきする。"
56,5,"The target is blasted by a huge volume of water launched under great pressure.","たいりょうの みずを ものすごい いきおいで あいてに はっしゃして こうげきする。"
57,2,"A strong water- type attack.",""
57,3,"Creates a huge wave, then crashes it down on the foe.",""
57,4,"It swamps the entire battlefield with a giant wave. It can also be used for crossing water.","おこした なみを てきに たたきつけて こうげきする。みずの うえを すすむことも できる。"
57,5,"It swamps the area around the user with a giant wave. It can also be used for crossing water.","おこした なみを てきに たたきつけて こうげきする。みずの うえを すすむことも できる。"
58,2,"An attack that may freeze the foe.",""
58,3,"Blasts the foe with an icy beam that may freeze it.",""
58,4,"The foe is struck with an icy-cold beam of energy. It may also freeze the target solid.","つめたい ビームを あいてに はっしゃして こうげきする。こおり じょうたいに することが ある。"
58,5,"The target is struck with an icy-cold beam of energy. It may also freeze the target solid.","つめたい ビームを あいてに はっしゃして こうげきする。こおり じょうたいに することが ある。"
59,2,"An attack that may freeze the foe.",""
59,3,"Hits the foe with an icy storm that may freeze it.",""
59,4,"A howling blizzard is summoned to strike the foe. It may also freeze the target solid.","はげしい ふぶきを てきに ふきつけて こうげきする。こおり じょうたいに することが ある。"
59,5,"A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.","はげしい ふぶきを てきに ふきつけて こうげきする。こおり じょうたいに することが ある。"
60,2,"An attack that may confuse the foe.",""
60,3,"Fires a peculiar ray that may confuse the foe.",""
60,4,"The foe is attacked with a peculiar ray. It may also leave the target confused.","ふしぎな こうせんを あいてに はっしゃして こうげきする。こんらん じょうたいに することが ある。"
60,5,"The target is attacked with a peculiar ray. It may also cause confusion.","ふしぎな こうせんを あいてに はっしゃして こうげきする。こんらん じょうたいに することが ある。"
61,2,"An attack that may lower SPEED.",""
61,3,"Forcefully sprays bubbles that may lower SPEED.",""
61,4,"A spray of bubbles is forcefully ejected at the foe. It may also lower the target’s Speed stat.","あわを いきおいよく くちから はっしゃして こうげきする。あいての すばやさを さげることが ある。"
61,5,"A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats.","あわを いきおいよく くちから はっしゃして こうげきする。あいての すばやさを さげることが ある。"
62,2,"An attack that may lower ATTACK.",""
62,3,"Fires a rainbow-colored beam that may lower ATTACK.",""
62,4,"The foe is hit with a rainbow-colored beam. It may also lower the target’s Attack stat.","にじいろに ひかる ビームを はっしゃして こうげきする。あいての こうげきを さげることが ある。"
62,5,"The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.","にじいろに ひかる ビームを はっしゃして こうげきする。あいての こうげきを さげることが ある。"
63,2,"1st turn: Attack 2nd turn: Rest",""
63,3,"Powerful, but leaves the user immobile the next turn.",""
63,4,"The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.","すさまじい こうせんを あいてに はっしゃして こうげきする。つぎの ターンは うごけなく なる。"
63,5,"The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.","すさまじい こうせんを あいてに はっしゃして こうげきする。つぎの ターンは うごけなく なる。"
64,2,"Jabs the foe with a beak, etc.",""
64,3,"Attacks the foe with a jabbing beak, etc.",""
64,4,"The foe is jabbed with a sharply pointed beak or horn.","するどく とがった くちばしや つので あいてを つついて こうげきする。"
64,5,"The target is jabbed with a sharply pointed beak or horn.","するどく とがった くちばしや つので あいてを つついて こうげきする。"
65,2,"A strong, spinning-peck attack.",""
65,3,"A corkscrewing attack with the beak acting as a drill.",""
65,4,"A corkscrewing attack with the sharp beak acting as a drill.","するどく とがった くちばしを じくに からだを かいてんして あいてに つっこんで こうげきする。"
65,5,"A corkscrewing attack with the sharp beak acting as a drill.","するどく とがった くちばしを じくに からだを かいてんして あいてに つっこんで こうげきする。"
66,2,"An attack that also hurts the user.",""
66,3,"A reckless body slam that also hurts the user.",""
66,4,"The user grabs the foe and recklessly dives for the ground. It also hurts the user slightly.","じめんに じぶんごと あいてを なげつけて こうげきする。じぶんも すこし ダメージを うける。"
66,5,"The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.","じめんに じぶんごと あいてを なげつけて こうげきする。じぶんも すこし ダメージを うける。"
67,2,"An attack that may cause flinching.",""
67,3,"A kick that inflicts more damage on heavier foes.",""
67,4,"A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.","あしを つよく けって あいてを ころばせて こうげきする。あいてが おもいほど ダメージも おおきい。"
67,5,"A powerful low kick that makes the target fall over. It inflicts greater damage on heavier targets.","あしを つよく けって あいてを ころばせて こうげきする。あいてが おもいほど ダメージも おおきい。"
68,2,"Returns a physical blow double.",""
68,3,"Retaliates any physical hit with double the power.",""
68,4,"A retaliation move that counters any physical attack, inflicting double the damage taken.","てきから うけた ぶつり こうげきの ダメージを ばいにして そのてきに かえす。"
68,5,"A retaliation move that counters any physical attack, inflicting double the damage taken.","てきから うけた ぶつり こうげきの ダメージを ばいにして そのてきに かえす。"
69,2,"The user's level equals damage HP.",""
69,3,"Inflicts damage identical to the user’s level.",""
69,4,"The foe is thrown using the power of gravity. It inflicts damage equal to the user’s level.","いんりょくを つかって あいてを なげとばして じぶんの レベルと おなじ だけの ダメージを あたえる。"
69,5,"The target is thrown using the power of gravity. It inflicts damage equal to the user's level.","いんりょくを つかって あいてを なげとばして じぶんの レベルと おなじ だけの ダメージを あたえる。"
70,2,"A powerful physical attack.",""
70,3,"Builds enormous power, then slams the foe.",""
70,4,"The foe is slugged with a punch thrown at maximum power. It can also be used to move boulders.","こんしんの ちからで あいてを なぐりつけて こうげきする。おもい いわを おすことも できる。"
70,5,"The target is slugged with a punch thrown at maximum power. It can also be used to move heavy boulders.","こんしんの ちからで あいてを なぐりつけて こうげきする。おもい いわを おすことも できる。"
71,2,"Steals 1/2 of the damage inflicted.",""
71,3,"An attack that absorbs half the damage inflicted.",""
71,4,"A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.","ようぶんを すいとって こうげきする。あいてに あたえた ダメージの はんぶん HPが かいふくする。"
71,5,"A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","ようぶんを すいとって こうげきする。あいてに あたえた ダメージの はんぶん HPが かいふくする。"
72,2,"Steals 1/2 of the damage inflicted.",""
72,3,"An attack that absorbs half the damage inflicted.",""
72,4,"A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.","ようぶんを すいとって こうげきする。あいてに あたえた ダメージの はんぶん HPが かいふくする。"
