ability_id,battle_status,effect,effect_jp
16,in,"**Generation III to IV**When hit by a damage-dealing move, a Pokémon with Color Change will change its type so that it is the same as that of the move that harmed it. If the Pokémon with Color Change has a {{move|Substitute}}, its type will not change if it is hit by a damage-dealing move until after the Substitute is broken. It will change both types of a dual-typed Pokémon which has gained this ability. This ability does not apply to the Shadow-type. **Generation V**Color Change now only activates on the last hit of multi-hit attacks. ","攻撃を受けると、自分のタイプがその技のタイプになる。"
17,in,"Immunity prevents the Pokémon from getting poisoned.","どく、もうどく状態にならない。"
18,in,"When this Pokemon takes damage from a Fire move, it becomes immune to Fire moves and all its own Fire moves do 50% more damage. It cannot be activated by the burned status unless it was caused by a Fire type move, and it cannot be activated if the Pokémon is frozen.","ほのおタイプの技を受けてもダメージや効果を受けず、その後は自分のほのおわざによるダメージが1.5倍になる。"
19,in,"Shield Dust prevents stat/status changes from damaging moves. For example, {{move|Body Slam}} would only deal damage and not have its usual 30% chance of causing Paralysis. It does not stop moves that only cause these effects, like {{move|Thunder Wave}}.","相手の攻撃技による追加効果を受けない。"
20,in,"Own Tempo prevents confusion, if a confused Pokémon gains this ability it will be cured of its confusion.","こんらん状態にならない。"
21,in,"Suction Cups firmly anchors the body. This ability prevents the opponent from forcing a switch, or in the wild ending the battle, with {{move|Roar}}, {{move|Whirlwind}}, {{move|Dragon Tail}}, or {{move|Overhead Throw}}. ","ほえるやふきとばしによる強制交換が無効となる。"
21,out,"From Pokémon Emerald onwards, if a Pokémon with Suction Cups is in first place in the player's party bites will occur more often while fishing.","エメラルド以降では、釣りの成功率が上がる。"
22,in,"Intimidate lowers the opponent's Attack stat by one stage upon entering the battle. It is triggered both when a battle begins and when a Pokémon with Intimidate switches into battle. In a double battle, both opponents are affected.Intimidate's activation message reads: [Pokémon]'s Intimidate cuts [opponent]'s attack!.Intimidate has no effect on Pokémon who are immune to Attack stat reductions, such as Pokémon with {{ability|Clear Body}}, {{ability|Hyper Cutter}}, or {{ability|White Smoke}}. ","戦闘に出たとき、相手のこうげきを1段階下げる。"
22,out,"From Pokémon Emerald onwards, if the Pokémon with Intimidate is leading the party, Intimidate decreases the chance of encountering a lower-level wild Pokémon by 50%.","エメラルドでは、この特性のポケモンが先頭に居ると、レベルの低いポケモンが出にくくなる。"
23,in,"Shadow Tag prevents the foe from switching out or fleeing. In a wild battle against a Pokémon with Shadow Tag, the Trainer is unable to run away. {{ability|Run Away}} negates its effect, but only in a wild battle. Similarly, as of Generation IV, if two Pokémon with Shadow Tag face one another, both may switch out at any time.The {{item|Shed Shell}}, a held item, allows a Pokémon to switch out when facing a Pokémon with Shadow Tag.In a double battle, Shadow Tag does not affect the partner Pokémon. ","相手はポケモンチェンジ・にげるができなくなり、テレポートが失敗する。相手も同じとくせいの場合は無効(第四世代のみ)。"
24,in,"All moves that make contact with the Pokémon with Rough Skin will damage the user by 1/16 of their maximum HP after damage is dealt. In Generation IV and V, the damage is 1/8.","直接攻撃を受けたとき、相手のHPを16分の1(第四世代以降は8分の1)減らす。"
25,in,"Wonder Guard only allows super effective moves to hit. It does not prevent stat-altering moves, such as {{move|Tail Whip}}, from hitting or from lowering the Pokémon's stats. Also, it does not prevent damage from weather effects, such as Sandstorm.Moves which cause status ailments, such as {{move|PoisonPowder}}, can still be used. In addition, the Pokémon can still be afflicted with status ailments and receive damage from those status ailments. Wonder Guard does not block Struggle from hitting, nor does it block moves whose types do not come into play for damage calculation, such as {{move|Beat Up}}. {{move|Fire Fang}} will also hit even if it is not super-effective, though this was removed in Generation V. Wonder Guard cannot be swapped by {{move|Skill Swap}} or copied by {{move|Role Play}}, but it can be traced with {{ability|Trace}}. {{move|Spikes}} and {{move|Stealth Rock}} will also damage a Pokémon with Wonder Guard. In addition, Wonder Guard cannot turn into {{ability|Mummy}}.","こうかばつぐん以外のわざでダメージを受けなくなる。"
26,in,"Levitate causes the user to be unaffected by Ground-type moves and {{move|Arena Trap}}. Despite the fact that the move {{move|Magnet Rise}} is said to change the Pokémon's ability to Levitate, this is not true — it merely renders the Pokémon immune to Ground attacks while still keeping its normal ability for five turns. ","じめんタイプの攻撃技があたらない。"
27,in,"Effect Spore may inflict the foe with a status problem if they make contact. It has a 30% chance of inducing either Paralysis, Sleep or Poison on the opponent when hit with a move that makes contact. ","直接攻撃を受けたとき、各10%の確率で相手をどく状態にするか、まひ状態にするか、ねむり状態にする。"
28,in,"**Generation III to IV**Synchronize passes on status problems to the opponent that caused the problem. Synchronize will not pass on the Sleep or Frozen status conditions, or if the status condition was obtained from items such as the {{item|Flame Orb}}. Synchronize will have no effect if the other Pokémon has a type or ability that prevents them from being Poisoned, Paralyzed, or Burned. The badly poisoned condition is passed on as regular poison.**Generation V**Synchronize no longer passes the badly poisoned condition on as regular poison. ","相手のわざでどく、まひ、やけどになったとき、相手も同じ状態異常になる。"
28,out,"From Pokémon Emerald onwards, if the Pokémon with this ability is leading the party, Synchronize gives a 50% chance of encountering a wild Pokémon with the same nature.",""
29,in,"Clear Body prevents stat reduction caused by another Pokémon's move or ability. Stat reductions can only be caused on Pokémon with this ability if they are self-inflicted, such as from moves like {{move|Superpower}} or {{move|Hammer Arm}}.Clear Body does not prevent stat reduction as a side effect from paralysis or burning.","相手のとくせいやわざの効果では能力が下がらない。"
30,in,"Natural Cure heals any status ailments upon switching out.If a Pokémon without Natural Cure gains this ability (eg. through {{ability|Trace}}), they will be cured upon switching out before the ability is lost. ","戦闘から引っ込むと状態異常が回復する。"
30,out,"As of Generation IV, Natural Cure automatically heals status ailments upon the end of a battle.","第四世代では、戦闘を終了させても状態異常が回復する。"
31,in,"**Generations III and IV**Lightningrod forces all single-target Electric-type attacks in a double battle  to strike the Pokémon with this ability.In a single battle, it will only cause the Pokémon with this ability to always be hit by Electric-type moves, no matter their accuracy.Note that Lightningrod cannot redirect {{move|Discharge}}, as it targets all Pokémon.**Generation V**Along with its previous effects, Lightningrod also gives Pokémon immunity to all Electric-type attacks and raises the Pokémon's Special Attack by one stage whenever they are hit by one. If the Pokémon is Ground-type, its type-granted immunity will take place before the activation of the ability's new effect and the Special Attack will not be raised.","ダブルバトルで自分以外がでんきタイプの技を使ったとき、その攻撃対象を自分にする。"
31,out,"In Pokémon Emerald, Trainers registered with the PokéNav's Match Call function will call more often if a Pokémon with Lightningrod leads the party.",""
32,in,"Serene Grace will double the chance of a move having an additional effect. For example, {{move|Psychic}} will have a 20% chance of lowering the target's Special Defense stat instead of its usual 10% chance, and {{move|Rock Smash}} will always lower an opponent's Defense by 1 level, as opposed to having a 50% chance of doing so. It does not, however, improve the chance of item effects. ","攻撃技の追加効果の出る確率が2倍になる。"
33,in,"Swift Swim doubles the user's Speed stat in rain.","天気があめが ふりつづいている状態のとき、すばやさが2倍になる。"
34,in,"During sunny weather, the Speed stat of Pokémon with this ability doubles. This effect lasts until the Pokémon is switched out or until the sunny weather ends.","天気がひざしが つよい状態のとき、すばやさが2倍になる。"
35,out,"From Pokémon Emerald onwards, if the Pokémon with Illuminate is leading the party, then the wild Pokémon encounter rate is increased to 200%.",""
36,in,"Trace copies the ability of the current opponent, for all intents and purposes. Trace is able to copy {{ability|Wonder Guard}}, but not {{ability|Multitype}}. If both the Pokémon and opponent have Trace, it will do nothing. If used in a double battle, Trace will randomly copy either opponent's ability. ","戦闘に出たとき、相手と同じとくせいになる。"
37,in,"Huge Power doubles the user's Attack stat.If this ability is swapped with {{move|Skill Swap}}, copied with {{move|Role Play}} or traced with {{ability|Trace}}, the effect is halved, boosting the Attack stat only by a 1.5x multiplier. This is the only difference from the similar ability, {{ability|Pure Power}}.","自分のこうげきが本来のステータスの2倍になる。"
38,in,"When a Pokémon with Poison Point is hit by a move that makes contact, there is a 30% chance that the attacking foe will become poisoned.","直接攻撃を受けたとき、30%の確率で相手をどく状態にする。"
39,in,"Inner Focus prevents flinching. However, it doesn't prevent flinching when the user is attacked whilst using {{move|Focus Punch}}. ","ひるまない。"
40,in,"Magma Armor prevents freezing.","こおり状態にならない。"
40,out,"From Emerald onwards, Magma Armor halves the number of steps it takes for a Pokémon egg to hatch, provided that the Pokémon with Magma Armor and the egg are both in the party. All eggs that are in the party at the time are affected.This effect will not stack up if multiple Pokémon with Magma Armor are in the party, nor will it stack up if a Pokémon with {{ability|Flame Body}}.","エメラルド以降のシリーズでは、この特性を持つポケモンが手持ちにいると、タマゴの孵化に必要な歩数が減少する"
41,in,"Water Veil prevents burns.","やけど状態にならない。"
42,in,"Magnet Pull traps Steel-type Pokémon, making them unable to leave battle except by holding a {{item|Shed Shell}} or using {{move|Baton Pass}} or {{move|U-turn}}.As of Generation IV, Magnet Pull does not affect the partner Pokémon in double battles. ","相手がはがねタイプのポケモンを引っ込められなくなる。(第三世代では味方も引っ込められなくなる)
"
42,out,"From Emerald onwards, if the Pokémon with Magnet Pull is leading the party, then the likelihood of encountering wild Steel-type Pokémon is increased by 150%. ","フィールド上ではがねタイプのポケモンが出易くなる(エメラルド以降)"
43,in,"Soundproof prevents all effect from sound moves, granting the user immunity from them. Also, a sleeping Pokémon with this ability cannot be awakened with a Poké Flute in FireRed and LeafGreen.**Sound Moves**{{move|Relic Song}}, {{move|Buzz}}, {{move|Chatter}}, {{move|Echoed Voice}}, {{move|GrassWhistle}}, {{move|Growl}}, {{move|Heal Bell}} (Before Generation V), {{move|Hyper Voice}}, {{move|Metal Sound}}, {{move|Perish Song}}, {{move|Roar}}, {{move|Round}}, {{move|Screech}}, {{move|Sing}}, {{move|Snarl}}, {{move|Snore }}, {{move|Supersonic}}, and {{move|Uproar}}**Unaffected Sound-like Moves**{{move|Howl}}, {{move|Roar of Time}}, {{move|SonicBoom}}, {{move|Heal Bell}} (Generation V)","音による技の効果を受けない（いにしえのうた、いびき、いやしのすず、いやなおと、うたう、エコーボイス、おしゃべり、きんぞくおん、くさぶえ、さわぐ、ちょうおんぱ、なきごえ、バークアウト、ハイパーボイス、ほえる、ほろびのうた、むしのさざめき、りんしょう）
戦闘中のポケモンのふえの効果を受けない"
44,in,"Rain Dish recovers 1/16 of the user's maximum HP at the end of each turn when it is raining.","天気があめが ふりつづいている状態のとき、HPが毎ターン16分の1ずつ回復する。"
45,in,"Sand Stream will summon a sandstorm in battle. It lasts for the remainder of the battle or until it is replaced by another weather condition. ","天気をすなあらしが ふきあれる状態にする。"
46,in,"Pressure increases the foe's PP usage by one for every successful hit. This ability works even if the Pokémon is immune to the attack's type, for example, using {{move|Earthquake}} against a Flying-type Pokémon.Starting in Generation IV, Pressure also affects ally Pokémon in a double battle when using moves which affect all Pokémon engaged in battle.As of Generation IV, one is alerted to the presence of Pressure by the message <name> is exerting its Pressure! ","この特性を持つポケモンに技をかけると、その技のPPの減りが1増える。つまり、1回技を繰り出すごとにPPが2ずつ減る。"
46,out,"From Emerald onwards, if the Pokémon with Pressure is leading the party, then Pressure increases the chance of battling a higher-leveled wild Pokémon by 50%.",""
47,in,"Thick Fat gives the user heat and cold protection, therefore halving the power of Ice-type and Fire-type moves."," ほのおタイプ・こおりタイプの技によるダメージを受ける時、相手のとくこうが半減する(第三世代)
ほのおタイプ、こおりタイプの技の威力が半減する(第四世代)"
48,in,"Early Bird causes quick awakening from sleep. In the turn the Pokémon is put to sleep, the number of turns it will remain asleep is preset. If it is 6 turns, it will be halved to 3. If 3, it will be rounded to 1. If only 1 turn is preset, it is rounded to 0, causing the Pokémon to instantly wake up at the end of the same turn.","ねむり状態から通常の半分のターンで回復する。"
49,in,"When a Pokémon with Flame Body is hit by a move that makes contact, there is a 30% chance that the attacking foe will become burned.","相手の攻撃が直接攻撃の場合、30%の確率でやけど状態にする。"
49,out,"From Emerald onwards, Flame Body halves the number of steps it takes for a Pokémon egg to hatch, provided that the Pokémon with Flame Body and the egg are both in the party. All eggs that are in the party at the time are affected.This effect will not stack up if multiple Pokémon with Flame Body are in the party, nor will it stack up if a Pokémon with {{ability|Magma Armor}}.","エメラルド以降のシリーズでは、この特性を持つポケモンが手持ちにいると、タマゴの孵化に必要な歩数が減少する"
50,in,"Run Away guarantees escape from a wild Pokémon, negating any trapping move or ability from the opponent in effect, such as {{move|Mean Look}}. When activated, the message <Pokémon name> escaped using Run Away. will appear. 
It does not allow a Pokémon to switch out when a trapping move or ability is in effect.
Run Away has no effect in trainer battles.","野生ポケモンから必ず逃げられる。(ただし、バトルピラミッドでは、効果が弱まり、常に逃げられるわけではなくなる)"
51,in,"Keen Eye prevents loss of Accuracy.","命中率が下がらない。"
51,out,"From Emerald onwards, if the Pokémon with Keen Eye is leading the party, then Keen Eye decreases the chance of encountering a lower-level wild Pokémon by 50%.",""
52,in,"Hyper Cutter prevents the Attack stat from being reduced from moves such as {{move|Growl}} or abilities such as {{ability|Intimidate}}. ","相手のいかくやわざの効果による自分のこうげきのランク補正低下が無効になる。"
53,out,"Pickup allows the player to receive free items. After a battle, any Pokémon on the team that has this ability and is not already holding an item has a 10% chance of picking up an item. It can be retrieved through the normal means of taking a held item. ","**第三世代・第四世代**戦闘終了時に10%の確率でどうぐを手に入れる。**第五世代**相手のポケモンが使ったきのみを自分のもちものにできる。戦闘終了時に10%の確率でどうぐを手に入れる。"
53,in,"Starting in Generation V, when an opponent or ally uses a held berry or a held one-time use item, Pokémon with Pickup gain the used berry or item if they are not already holding an item. A Pokémon with Pickup can also gain an item thrown at it using {{move|Fling}}. In double and triple battles if more than one Pokémon have Pickup, then only the faster Pokémon will pick up used items. ",""
54,in,"Truant causes the user to only move every other turn. Moves which require a turn to charge, such as {{move|SolarBeam}}, will not work because the turn in which the move is executed is the same turn in which the Pokémon will be truant. If a Pokémon with Truant uses a move such as {{move|Hyper Beam}}, which recharges after use, then Truant will take effect during the turn that would normally be used recharging. {{move|Worry Seed}} will not work on Pokémon with this ability. ","2ターンに1回しか行動することができない。"
55,in,"Hustle increases the user's Attack stat by 50%, but lowers the Accuracy of the user's Physical moves by 20%. Special moves are unaffected by Hustle.","自分のこうげきが1.5倍になるが、物理技の命中率が下がってしまう。（命中率×0.8）"
55,out,"From Emerald onwards, if the Pokémon with Hustle is leading the party, then Hustle increases the chance of battling a higher-leveled wild Pokémon by 50%. ","エメラルドでは、このとくせいを持つポケモンが先頭にいると、レベルの高いポケモンが出やすくなる。"
56,in,"When a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance that the opponent of the opposite gender will become infatuated, making it unable to attack 50% of the time.","直接攻撃を受けた時、相手を30%の確率でメロメロ状態にする。"
56,out,"From Emerald onwards, if the Pokémon with Cute Charm is first in the party, the chance of encountering a Pokémon of the opposite gender is 66.7%, regardless of gender ratios. This does not affect the swarming Pokémon species. ","エメラルドでは、このとくせいを持つポケモンを先頭に配置すると、そのポケモンと逆の性別のポケモンが出やすくなる。"
57,in,"**Generations III and IV**When a Pokémon with Plus enters into a double battle with a Pokémon with Minus, the user's Special Attack stat increases by 50%.**Generation V**Plus now raises the user's Special Attack stat by 50% when it enters a double or triple battle with a Pokémon that has {{ability|Minus}}. ","とくせいマイナスを持つポケモンが戦闘にいるとき、とくこうが1.5倍される。"
58,in,"Minus powers up with Plus. When a Pokémon with Minus enters into a double battle with a Pokémon with Plus, the user's Special Attack stat increases by 50%.","とくせいプラスを持つポケモンが戦闘にいるとき、とくこうが1.5倍される。"
59,in,"During weather conditions, Forecast will change the type of the Pokémon with this ability.The type of a Pokémon with this ability will change as follows:It will become a Fire-type if Sunny Day is in effect.It will become a Ice-type if Hail is in effect.It will become a Water-type if Rain Dance is in effect.It will return to its natural type if Sandstorm or Shadow Sky is in effect, the weather returns to normal, or a Pokémon with Cloud Nine or Air Lock comes onto the field. The same is true when there is Fog.This ability is made specifically for Castform, and as such, if other Pokémon have this ability (either via {{move|Skill Swap}} or {{ability|Trace}}) it will have no effect. Conversely, if Castform loses Forecast (either via {{move|Skill Swap}} or {{move|Worry Seed}}) it will be stuck in whatever form it was in at the time. ","天気によってポワルンのタイプが変化する。又、それぞれ対応した姿にフォルムチェンジする。
<ul><li>ひざしが つよい→ほのおタイプ</li><li>あめが ふりつづいている→みずタイプ</li><li>あられが ふりつづいている→こおりタイプ</li></ul>"
60,in,"This ability prevents the user's held item from being taken by {{move|Covet}} or {{move|Thief}}, traded by {{move|Trick}} or {{move|Switcheroo}}, or removed by {{move|Knock Off}}. ","もちものを奪われることがない。"
60,out,"From Emerald onwards, if a Pokémon with Sticky Hold is in first place in your party, bites will occur more often while fishing. ","エメラルドでは、釣りの成功率があがる。"
61,in,"There is a 30% chance at the end of each turn that Shed Skin will cure the user of a non-volatile status ailment.","自分の状態異常が毎ターン30%の確率で回復する。"
62,in,"Guts raises the Attack stat by 50% while affected by the Burn, Paralysis, or Poison status ailments. The Attack drop from Burn does not occur. In Generation IV, the Attack stat is also raised by the Sleep status ailment, even self-induced sleep.","状態異常のとき、こうげきが1.5倍になる。やけどによるダメージ半減は無視される。"
63,in,"Marvel Scale raises the Defense stat by 50% if the Pokémon with this ability is suffering from a status ailment. (Not affected by confusion or infatuation)","状態異常のとき、ぼうぎょが1.5倍になる。(こんらん、メロメロでは発動しない)"
64,in,"Liquid Ooze causes HP-draining moves to cause injury. If a Pokémon with Liquid Ooze is hit by a HP-draining move such as Leech Life or Giga Drain, the amount of HP that should be recovered by the opponent will be dealt as damage instead. However, Liquid Ooze does not prevent damage to the Pokémon. Dream Eater is not affected by this ability.HP draining moves:{{move|Absorb}}, {{move|Drain Punch}}, {{move|Giga Drain}}, {{move|Leech Life}}, {{move|Leech Seed}}, {{move|Mega Drain}}, {{move|Wood Horn}}","HPを吸い取る技を受けたとき、相手に逆に与えたダメージの1/2のダメージを与える（きゅうけつ、すいとる、メガドレイン、ギガドレイン、やどりぎのタネ、ドレインパンチ、ウッドホーン）。"
65,in,"When a Pokémon with Overgrow uses a Grass-type move, the power will increase by 1.5x if the user has less than or equal to 33% of its maximum HP remaining.","自分のHPが3分の1以下になると、くさタイプのわざの威力が1.5倍になる。"
66,in,"When a Pokémon with Blaze uses a fire-type move, the power will increase by 1.5x if the user has less than or equal to 33% of its maximum HP remaining.","自分のHPが3分の1以下になると、ほのおタイプのわざの威力が1.5倍になる。"
67,in,"When a Pokémon with Torrent uses a water-type move, the power will increase by 1.5x if the user has less than or equal to 33% of its maximum HP remaining.","自分のHPが3分の1以下になると、みずタイプのわざの威力が1.5倍になる。"
68,in,"When a Pokémon with Swarm uses a bug-type move, the power will increase by 1.5x if the user has less than or equal to 33% of its maximum HP remaining.","自分のHPが3分の1以下になると、むしタイプのわざの威力が1.5倍になる。"
69,in,"Rock Head prevents recoil damage from moves like {{move|Double-Edge}}, but not from use of a {{item|Life Orb}} or the move {{move|Struggle}}.","すてみタックルやとっしんなどの反動を受けるわざを使用しても反動を受けない。"
70,in,"Drought will summon sunlight in battle. It lasts for the whole battle or until the user is replaced. ","天気をひざしが つよい状態にする。"
71,in,"Arena Trap prevents fleeing or switching out as long as the user remains in battle. If the user switches out, the affected Pokémon can switch out or flee in the next turn. Flying-type Pokémon and Pokémon with {{ability||Levitate}} are immune to the effect of this ability. {{ability|Run Away}} will also negate its effect, but only in a wild Pokémon battle. ","相手はポケモンチェンジ・にげるが出来なくなり、テレポートが失敗するようになる。
ひこうタイプのポケモン、ふゆうのとくせいをもつポケモンには無効。"
71,out,"From Emerald onwards, if the Pokémon with Arena Trap is leading the party, then Arena Trap causes wild Pokémon to appear twice as often.","エメラルド以降では先頭に置くと、野生ポケモンの出現確率が2倍になる"
72,in,"Vital Spirit prevents Sleep. If a Pokémon with Vital Spirit uses {{move|Rest}}, it will automatically fail. ","ねむり状態にならない。"
72,out,"From Emerald onwards, if the Pokémon with Vital Spirit is leading the party, then Vital Spirit increases the chance of battling a higher-leveled wild Pokémon by 50%.",""
73,in,"White Smoke prevents ability reduction. Therefore the Pokémon's stats cannot be reduced from moves such as {{move|Scary Face}} or abilities such as {{ability|Intimidate}}. However, White Smoke does not prevent self-inflicted stat reduction from moves like {{move|Overheat}}. ","相手のとくせいやわざの効果では能力が下がらない。"
73,out,"From Emerald onwards, if the Pokémon with White Smoke is leading the party, then White Smoke decreases the wild Pokémon encounter rate by 50%. ","エメラルド以降では、この特性のポケモンが先頭にいると、野生のポケモン出現率が0.5倍になる。"
74,in,"Pure Power doubles the user's Attack stat.","自分のこうげきが本来のステータスの2倍になる。"
75,in,"Pokémon with Shell Armor will never be hit by a critical hit.","相手の攻撃が急所に当たらない。"
76,in,"Air Lock prevents the effects of all weather effects.","天気変化の効果を無効化する。"
77,in,"Tangled Feet causes Evasion to increase by 20% when the Pokémon is confused.","自分がこんらんの時、回避率が上がる。"
78,in,"Motor Drive neutralizes the damage and effects of Electric-type moves  and increases the speed of the Pokémon hit by the move. Each time a Pokémon with this ability is hit by an Electric-type move, its speed increases by one stage.","でんきタイプの攻撃技、またはでんじはを受けたとき、ダメージや効果を受けずに素早さが1段階上がる。"
79,in,"Rivalry raises the the base power of a move by 25% if the foe and the user have the same gender, but reduces base power by 25% if the foe and the user have opposite genders.If the foe is genderless, move base power is unaffected. ","自分と相手の性別が一致した場合は技の威力が1.25倍、異なる場合は技の威力が0.75倍、どちらかが性別不明だった場合は1倍になる"
80,in,"Steadfast increases the user's Speed stat by one stage when flinched.","ひるむと素早さが1段階上がる。"
81,in,"Snow Cloak causes evasion to increase by 20% in a hailstorm. If a Pokémon which is not of the Ice-type acquires this ability, it will be immune to the effects of hail.","天気があられが ふりつづいているのとき、回避率が1.25倍になる。"
81,in,"If the Pokémon with Snow Cloak is leading the party in an area with a blizzard, then Snow Cloak decreases the wild Pokémon encounter rate by 50%.","天気があられが ふりつづいているのとき、回避率が1.25倍になる。"
82,in,"Gluttony causes the Pokémon to eat a held berry at 50% health as opposed to the usual 25% health.","きのみを持たせると、いつもより早く使う（通常は最大HPの1/4以下になったときであるのに対し、この特性の場合、最大HPの1/2以下で使用する）。
早く使うようになるきのみ
<ul><li>チイラのみ</li><li>リュガのみ</li><li>カムラのみ</li><li>ヤタピのみ</li><li>ズアのみ</li><li>サンのみ</li><li>スターのみ</li><li>イバンのみ</li><li>ミクルのみ</li></ul>
"
83,in,"Anger Point maximizes the Attack stat of Pokémon with this ability when they are hit by a critical hit.","相手の攻撃が急所に当たると、こうげきが12段階上がる。"
84,in,"Unburden doubles the Pokémon's Speed stat when the Pokémon's held item is lost. If there is no held item to begin with or if a held item is traded for another, Unburden will not be activated.","持っている道具がなくなると素早さが2倍になる。再び持つと下がる。初めから持っていない場合は無効。"
85,in,"Heatproof halves the damage done by Fire-type attacks and the Burn status ailment.","相手のポケモンのほのおタイプの技の威力が半減する。やけどのダメージが半減する。"
86,in,"Simple doubles the effectiveness of stat modifiers, both positive and negative. For example, if {{move|Defense Curl}} is used, the user's Defense stat will increase by two stages, rather than one stage. Similarly, if {{move|Tail Whip}} is used against this Pokémon, its Defense stat will fall two stages rather than one stage. Stat modifiers  are still effectively capped at six stages. Simple also doubles the effects of critical hits to 4x regular damage as opposed to 2x.","ランク数が通常の2倍の扱いになる。ランクの扱いが+6より大きくなったり、-6より小さくなることはない(デフォルトを±0とした場合)。
例:+1の状態なら+2のときと同じ効果を得られ、逆に-1なら-2と同じ扱いになる。+4以上でも全て+6の扱いになり、-4以下でも全て-6の扱いになる。"
